idProd,nameProd,subCat,PCategory,SectionProduc,General
A173051023084010,EXPRIMIDOR DE CITRICOS IMACO,EXPRIMIDOR DE JUGO,COCINA,PEQUEÑO  APARATO,ELECTRO
A179052023124010,HORNO TOSTADOR CON FUNCION DE FREIDORA WATSON,HORNOS TOSTADORES,COCINA,PEQUEÑO  APARATO,ELECTRO
A170053023154010,FREIDORA DE AIRE NEGRO B+D 4.5 LITROS,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A171053023164010,OLLA DE PRESION DIGITAL PLATA BLACK+DECKER,OLLA LENTA,COCINA,PEQUEÑO  APARATO,ELECTRO
A172053023094010,EXTRACTOR DE JUGOS NEGRO B+D,EXTRACTOR DE JUGO,COCINA,PEQUEÑO  APARATO,ELECTRO
A173053023154010,FREIDORA DE AIRE NEGRO B+D,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A174053023164010,OLLA DIGITAL MULTIFUNCION NEGRO B+D,OLLA LENTA,COCINA,PEQUEÑO  APARATO,ELECTRO
A179045073054010,REFRIGERADORA RI-990I MANIJA INCORPORADA INVERTER,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A173046053044010,ENCIMERA DE GAS WHIRLPOOL 30 INCH WP3040S,PLACAS A GAS,EMPOTRABLES,GAMA  BLANCA,ELECTRO
A174046043024010,COCINA A GAS WHIRLPOOL 30 INCH 6 QUEM. LWFR7320S,A GAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
A175046043024010,COCINA A GAS WHIRLPOOL 30 INCH 6 QUEM. + SIDE DOOR LWFR7410S,A GAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
