id,name,type,status,commerce,size,region,city,state,tamanio
1686,P.S. PORTOVIEJO - LA QUADRA,TIENDA,1,PET STATION,154.97,PROV. COSTA,PORTOVIEJO,MANABI,MEDIANO
1687,POLIP. PORTOVIEJO - LA QUADRA,TIENDA,1,POLIPAPEL,92.95,PROV. COSTA,PORTOVIEJO,MANABI,MEDIANO
1688,PORTOVIEJO - LA QUADRA,TIENDA,1,PYCCA,979.96,PROV. COSTA,PORTOVIEJO,MANABI,GRANDE
1689,POLIP. MANTA-MALL DEL PACIFICO,TIENDA,1,POLIPAPEL,126.12,PROV. COSTA,MANTA,MANABI,MEDIANO
1690,P.S. MANTA-MALL DEL PACIFICO,TIENDA,1,PET STATION,155.62,PROV. COSTA,MANTA,MANABI,MEDIANO
1691,SALINAS - PLAZA MUEY,TIENDA,1,PYCCA,881.44,PROV. COSTA,SALINAS,SANTA ELENA,GRANDE
1692,LOJA - PLAZA DEL VALLE(OLD),TIENDA,0,PYCCA,0.0,PROV. SIERRA,LOJA,LOJA,PEQUEÑO
1693,POLIP. LOJA - PLAZA DEL VALLE,TIENDA,1,POLIPAPEL,101.36,PROV. SIERRA,LOJA,LOJA,MEDIANO
1694,PC BY PS - EL RECREO,TIENDA,1,PET STATION,19.78,QUITO,QUITO,PICHINCHA,PEQUEÑO
1695,P.S. QUICENTRO SUR,TIENDA,1,PET STATION,241.28,QUITO,QUITO,PICHINCHA,MEDIANO
1697,RIOBAMBA - P. SHOPPING,TIENDA,1,PYCCA,1388.71,PROV. SIERRA,RIOBAMBA,CHIMBORAZO,GRANDE
1699,LOGISTICA INVERSA,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1700,POLIP. EL BOSQUE UIO,TIENDA,1,POLIPAPEL,79.92,QUITO,QUITO,PICHINCHA,PEQUEÑO
